feature,ks_stat,ks_pvalue,ks_drifted,psi,psi_severity,n_ref,n_cur
scroll_direction_ratio,0.5714285714285714,0.4,False,11.324786201950253,significant,7,3
wasd_rhythm,0.3333333333333333,0.9406593406593404,False,8.477852172156238,significant,12,3
click_interval_std,0.3611111111111111,0.26189373791993537,False,6.696131725040236,significant,18,12
keystroke_periodicity,0.3282051282051282,0.20253788576972748,False,6.170267693295183,significant,26,15
click_interval_mean,0.35964912280701755,0.23496290847840878,False,5.556008567275482,significant,19,12
iki_mean,0.4846153846153846,0.013913691861864072,True,5.5408787057288205,significant,26,15
speed_mean,0.3937908496732026,0.04017736804501469,True,4.702986470424856,significant,36,17
iki_std,0.3487179487179487,0.1537202484222252,False,4.356327504841522,significant,26,15
hold_std,0.32051282051282054,0.22282595436114974,False,4.335678761517739,significant,26,15
speed_std,0.42483660130718953,0.02163502843003911,True,4.2043921485135245,significant,36,17
accel_std,0.4133986928104575,0.02607744446465124,True,3.9179296747784074,significant,36,17
hold_mean,0.30092592592592593,0.2616053304363637,False,3.9075155151320358,significant,27,16
burst_rate,0.44607843137254904,0.012923555833821017,True,3.6739732288119837,significant,36,17
accel_mean,0.39705882352941174,0.03789982084170729,True,3.6208573196422495,significant,36,17
event_rate,0.3137254901960784,0.1612025740665726,False,3.4184480543422877,significant,36,17
inter_click_movement,0.23684210526315788,0.6995821125240288,False,3.3058034562092864,significant,19,12
mouse_key_ratio,0.37254901960784315,0.05991846516371253,False,2.9007463233688915,significant,36,17
mouse_curvature_mean,0.21241830065359477,0.5924731358684336,False,2.8956348197073614,significant,36,17
click_reaction_mean,0.21458333333333332,0.6396397406872082,False,2.8192555705779507,significant,32,15
path_efficiency,0.369281045751634,0.06376864306167963,False,2.6384028647334197,significant,36,17
mouse_curvature_std,0.3415032679738562,0.10332685977803024,False,2.452916074283563,significant,36,17
jitter,0.369281045751634,0.06376864306167963,False,2.3564602477491015,significant,36,17
direction_changes_per_sec,0.23366013071895425,0.47612017543134394,False,1.6603913447610799,significant,36,17
active_time_pct,0.09640522875816994,0.9990645319092829,False,0.17890237675206971,moderate,36,17
scroll_count,0.06535947712418301,0.9999998440409215,False,0.035228529459652755,none,36,17
