feature,ks_stat,ks_pvalue,ks_drifted,psi,psi_severity,n_ref,n_cur
speed_p50,0.5013881544156531,8.143441075579516e-12,True,9.175858309970756,significant,248,61
accel_mean,0.7459677419354839,1.0141013714331226e-27,True,9.069215525700185,significant,248,61
accel_std,0.8010973030142782,1.2985529626067577e-32,True,8.804875810815401,significant,248,61
scroll_direction_ratio,0.5561497326203209,0.003997281309597414,True,6.86922331773299,significant,51,11
speed_mean,0.5841485986250661,3.522110704024854e-16,True,6.373316308551376,significant,248,61
speed_std,0.5873876255949233,2.1357081722319777e-16,True,5.512846746157607,significant,248,61
speed_p90,0.5720518244315177,1.7607692633606336e-15,True,5.470875804942567,significant,248,61
speed_p99,0.6234135378106822,1.3673872465059072e-18,True,4.70558178999882,significant,248,61
click_reaction_p5,0.49567307692307694,2.842600546707796e-06,True,4.534519597418225,significant,130,32
mouse_curvature_std,0.40970386039132733,6.57445239043602e-08,True,4.079729821815416,significant,248,61
inter_click_movement,0.3787878787878788,0.005385913111274529,True,3.948812659728239,significant,99,24
direction_changes_per_sec,0.44949762030671603,1.7010030184940807e-09,True,3.8849195483970265,significant,248,61
click_reaction_mean,0.4206730769230769,0.0001224709121215169,True,1.7232132846050763,significant,130,32
click_interval_mean,0.273989898989899,0.08909972829826772,False,1.5595167135115064,significant,99,24
burst_rate,0.24011001872659177,0.004135774177327549,True,1.5395827308420378,significant,267,64
click_interval_std,0.15462814339218833,0.7487480363735629,False,1.3938824011007835,significant,89,21
mouse_key_ratio,0.1401568352059925,0.23608601222481287,False,1.3403350204207565,significant,267,64
scroll_count,0.12605337078651685,0.3499582767021764,False,1.2239399093980963,significant,267,64
fast_segment_straightness,0.3121364357482813,9.83369803324155e-05,True,0.6038588328914772,significant,248,61
iki_mean,0.15524193548387097,0.15344704910257992,False,0.5504011003023046,significant,248,64
mouse_curvature_mean,0.23155737704918034,0.008503550271301813,True,0.5327574792528043,significant,248,61
hold_mean,0.2470835723847772,0.003408367136192696,True,0.4162010359399605,significant,249,63
path_efficiency,0.16373611845584346,0.12717308385584275,False,0.3821064182575084,significant,248,61
jitter,0.16373611845584346,0.12717308385584275,False,0.3821064182575084,significant,248,61
iki_std,0.14395491803278687,0.2190039511351169,False,0.27911800258598285,significant,244,64
hold_std,0.22202864885791715,0.011707520845060696,True,0.24222789186259563,moderate,246,63
keystroke_periodicity,0.1831454918032787,0.05757865364308244,False,0.19560288871978476,moderate,244,64
event_rate,0.12476591760299625,0.3621006271070882,False,0.1347204767724647,moderate,267,64
wasd_rhythm,0.09523809523809523,0.8494016482650748,False,0.12423081635813038,moderate,89,63
active_time_pct,0.09585674157303371,0.6877335509586671,False,0.08797278386591567,none,267,64
